Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 1.19, h(n) (heuristic cost): 11.33, f(n): 12.52
g(n) (actual cost): 1.21, h(n) (heuristic cost): 11.30, f(n): 12.52
g(n) (actual cost): 1.24, h(n) (heuristic cost): 11.28, f(n): 12.52
g(n) (actual cost): 1.26, h(n) (heuristic cost): 11.26, f(n): 12.52
g(n) (actual cost): 1.28, h(n) (heuristic cost): 11.24, f(n): 12.52
g(n) (actual cost): 1.30, h(n) (heuristic cost): 11.21, f(n): 12.52
g(n) (actual cost): 1.33, h(n) (heuristic cost): 11.19, f(n): 12.52
g(n) (actual cost): 1.35, h(n) (heuristic cost): 11.16, f(n): 12.52
g(n) (actual cost): 1.38, h(n) (heuristic cost): 11.14, f(n): 12.52
g(n) (actual cost): 1.40, h(n) (heuristic cost): 11.11, f(n): 12.52
g(n) (actual cost): 1.42, h(n) (heuristic cost): 11.09, f(n): 12.52
g(n) (actual cost): 1.45, h(n) (heuristic cost): 11.07, f(n): 12.52
g(n) (actual cost): 1.48, h(n) (heuristic cost): 11.04, f(n): 12.52
g(n) (actual cost): 1.50, h(n) (heuristic cost): 11.01, f(n): 12.52
g(n) (actual cost): 1.53, h(n) (heuristic cost): 10.99, f(n): 12.52
g(n) (actual cost): 1.55, h(n) (heuristic cost): 10.97, f(n): 12.52
g(n) (actual cost): 1.57, h(n) (heuristic cost): 10.94, f(n): 12.52
g(n) (actual cost): 1.60, h(n) (heuristic cost): 10.92, f(n): 12.52
g(n) (actual cost): 1.63, h(n) (heuristic cost): 10.89, f(n): 12.52
g(n) (actual cost): 1.65, h(n) (heuristic cost): 10.86, f(n): 12.52
g(n) (actual cost): 1.69, h(n) (heuristic cost): 10.82, f(n): 12.52
g(n) (actual cost): 1.72, h(n) (heuristic cost): 10.79, f(n): 12.52
g(n) (actual cost): 1.75, h(n) (heuristic cost): 10.77, f(n): 12.52
g(n) (actual cost): 1.79, h(n) (heuristic cost): 10.73, f(n): 12.52
g(n) (actual cost): 1.81, h(n) (heuristic cost): 10.70, f(n): 12.52
g(n) (actual cost): 1.84, h(n) (heuristic cost): 10.68, f(n): 12.52
g(n) (actual cost): 1.87, h(n) (heuristic cost): 10.65, f(n): 12.52
g(n) (actual cost): 1.89, h(n) (heuristic cost): 10.62, f(n): 12.52
g(n) (actual cost): 1.92, h(n) (heuristic cost): 10.59, f(n): 12.52
g(n) (actual cost): 1.95, h(n) (heuristic cost): 10.57, f(n): 12.52
g(n) (actual cost): 1.97, h(n) (heuristic cost): 10.54, f(n): 12.52
g(n) (actual cost): 2.00, h(n) (heuristic cost): 10.51, f(n): 12.52
g(n) (actual cost): 2.03, h(n) (heuristic cost): 10.49, f(n): 12.52
g(n) (actual cost): 2.06, h(n) (heuristic cost): 10.46, f(n): 12.52
g(n) (actual cost): 2.09, h(n) (heuristic cost): 10.43, f(n): 12.52
g(n) (actual cost): 2.11, h(n) (heuristic cost): 10.40, f(n): 12.52
g(n) (actual cost): 2.14, h(n) (heuristic cost): 10.38, f(n): 12.52
g(n) (actual cost): 2.17, h(n) (heuristic cost): 10.35, f(n): 12.52
g(n) (actual cost): 2.19, h(n) (heuristic cost): 10.32, f(n): 12.52
g(n) (actual cost): 2.22, h(n) (heuristic cost): 10.30, f(n): 12.52
g(n) (actual cost): 2.25, h(n) (heuristic cost): 10.27, f(n): 12.52
g(n) (actual cost): 2.28, h(n) (heuristic cost): 10.24, f(n): 12.52
g(n) (actual cost): 2.31, h(n) (heuristic cost): 10.21, f(n): 12.52
g(n) (actual cost): 2.33, h(n) (heuristic cost): 10.18, f(n): 12.52
g(n) (actual cost): 2.36, h(n) (heuristic cost): 10.15, f(n): 12.52
g(n) (actual cost): 2.39, h(n) (heuristic cost): 10.13, f(n): 12.52
g(n) (actual cost): 2.41, h(n) (heuristic cost): 10.10, f(n): 12.52
g(n) (actual cost): 2.44, h(n) (heuristic cost): 10.08, f(n): 12.52
g(n) (actual cost): 2.47, h(n) (heuristic cost): 10.05, f(n): 12.52
g(n) (actual cost): 2.49, h(n) (heuristic cost): 10.02, f(n): 12.52
g(n) (actual cost): 2.52, h(n) (heuristic cost): 9.99, f(n): 12.52
g(n) (actual cost): 2.55, h(n) (heuristic cost): 9.96, f(n): 12.52
g(n) (actual cost): 2.61, h(n) (heuristic cost): 9.91, f(n): 12.52
g(n) (actual cost): 2.64, h(n) (heuristic cost): 9.88, f(n): 12.52
g(n) (actual cost): 2.67, h(n) (heuristic cost): 9.85, f(n): 12.52
g(n) (actual cost): 2.69, h(n) (heuristic cost): 9.82, f(n): 12.52
g(n) (actual cost): 2.72, h(n) (heuristic cost): 9.79, f(n): 12.52
g(n) (actual cost): 2.75, h(n) (heuristic cost): 9.77, f(n): 12.52
g(n) (actual cost): 2.77, h(n) (heuristic cost): 9.74, f(n): 12.52
g(n) (actual cost): 2.80, h(n) (heuristic cost): 9.71, f(n): 12.52
g(n) (actual cost): 2.83, h(n) (heuristic cost): 9.69, f(n): 12.52
g(n) (actual cost): 2.85, h(n) (heuristic cost): 9.66, f(n): 12.52
g(n) (actual cost): 2.88, h(n) (heuristic cost): 9.64, f(n): 12.52
g(n) (actual cost): 2.91, h(n) (heuristic cost): 9.61, f(n): 12.52
g(n) (actual cost): 2.94, h(n) (heuristic cost): 9.58, f(n): 12.52
g(n) (actual cost): 2.96, h(n) (heuristic cost): 9.55, f(n): 12.52
g(n) (actual cost): 2.99, h(n) (heuristic cost): 9.53, f(n): 12.52
g(n) (actual cost): 3.02, h(n) (heuristic cost): 9.50, f(n): 12.52
g(n) (actual cost): 3.04, h(n) (heuristic cost): 9.47, f(n): 12.52
g(n) (actual cost): 3.08, h(n) (heuristic cost): 9.43, f(n): 12.52
g(n) (actual cost): 3.11, h(n) (heuristic cost): 9.41, f(n): 12.52
g(n) (actual cost): 3.14, h(n) (heuristic cost): 9.38, f(n): 12.52
g(n) (actual cost): 3.16, h(n) (heuristic cost): 9.35, f(n): 12.52
g(n) (actual cost): 3.20, h(n) (heuristic cost): 9.32, f(n): 12.52
g(n) (actual cost): 3.23, h(n) (heuristic cost): 9.29, f(n): 12.52
g(n) (actual cost): 3.26, h(n) (heuristic cost): 9.26, f(n): 12.52
g(n) (actual cost): 3.30, h(n) (heuristic cost): 9.22, f(n): 12.52
g(n) (actual cost): 3.32, h(n) (heuristic cost): 9.20, f(n): 12.52
g(n) (actual cost): 3.35, h(n) (heuristic cost): 9.17, f(n): 12.52
g(n) (actual cost): 3.37, h(n) (heuristic cost): 9.14, f(n): 12.52
g(n) (actual cost): 3.41, h(n) (heuristic cost): 9.11, f(n): 12.52
g(n) (actual cost): 3.44, h(n) (heuristic cost): 9.08, f(n): 12.52
g(n) (actual cost): 3.47, h(n) (heuristic cost): 9.05, f(n): 12.52
g(n) (actual cost): 3.49, h(n) (heuristic cost): 9.02, f(n): 12.52
g(n) (actual cost): 3.52, h(n) (heuristic cost): 8.99, f(n): 12.52
g(n) (actual cost): 3.55, h(n) (heuristic cost): 8.97, f(n): 12.52
g(n) (actual cost): 3.57, h(n) (heuristic cost): 8.94, f(n): 12.52
g(n) (actual cost): 3.60, h(n) (heuristic cost): 8.91, f(n): 12.52
g(n) (actual cost): 3.63, h(n) (heuristic cost): 8.89, f(n): 12.52
g(n) (actual cost): 3.66, h(n) (heuristic cost): 8.86, f(n): 12.52
g(n) (actual cost): 3.69, h(n) (heuristic cost): 8.83, f(n): 12.52
g(n) (actual cost): 3.71, h(n) (heuristic cost): 8.81, f(n): 12.52
g(n) (actual cost): 3.73, h(n) (heuristic cost): 8.78, f(n): 12.52
g(n) (actual cost): 3.76, h(n) (heuristic cost): 8.76, f(n): 12.52
g(n) (actual cost): 3.78, h(n) (heuristic cost): 8.73, f(n): 12.52
g(n) (actual cost): 3.80, h(n) (heuristic cost): 8.71, f(n): 12.52
g(n) (actual cost): 3.83, h(n) (heuristic cost): 8.69, f(n): 12.52
g(n) (actual cost): 3.85, h(n) (heuristic cost): 8.66, f(n): 12.52
g(n) (actual cost): 3.88, h(n) (heuristic cost): 8.64, f(n): 12.52
g(n) (actual cost): 3.90, h(n) (heuristic cost): 8.62, f(n): 12.52
g(n) (actual cost): 3.93, h(n) (heuristic cost): 8.59, f(n): 12.52
g(n) (actual cost): 3.95, h(n) (heuristic cost): 8.57, f(n): 12.52
g(n) (actual cost): 3.97, h(n) (heuristic cost): 8.55, f(n): 12.52
g(n) (actual cost): 4.00, h(n) (heuristic cost): 8.52, f(n): 12.52
g(n) (actual cost): 4.02, h(n) (heuristic cost): 8.50, f(n): 12.52
g(n) (actual cost): 4.05, h(n) (heuristic cost): 8.47, f(n): 12.52
g(n) (actual cost): 4.07, h(n) (heuristic cost): 8.45, f(n): 12.52
g(n) (actual cost): 4.09, h(n) (heuristic cost): 8.42, f(n): 12.52
g(n) (actual cost): 4.12, h(n) (heuristic cost): 8.40, f(n): 12.52
g(n) (actual cost): 4.14, h(n) (heuristic cost): 8.38, f(n): 12.52
g(n) (actual cost): 4.17, h(n) (heuristic cost): 8.35, f(n): 12.52
g(n) (actual cost): 4.19, h(n) (heuristic cost): 8.33, f(n): 12.52
g(n) (actual cost): 4.22, h(n) (heuristic cost): 8.29, f(n): 12.52
g(n) (actual cost): 4.25, h(n) (heuristic cost): 8.27, f(n): 12.52
g(n) (actual cost): 4.27, h(n) (heuristic cost): 8.24, f(n): 12.52
g(n) (actual cost): 4.30, h(n) (heuristic cost): 8.22, f(n): 12.52
g(n) (actual cost): 4.32, h(n) (heuristic cost): 8.19, f(n): 12.52
g(n) (actual cost): 4.35, h(n) (heuristic cost): 8.17, f(n): 12.52
g(n) (actual cost): 4.37, h(n) (heuristic cost): 8.15, f(n): 12.52
g(n) (actual cost): 4.41, h(n) (heuristic cost): 8.11, f(n): 12.52
g(n) (actual cost): 4.44, h(n) (heuristic cost): 8.08, f(n): 12.52
g(n) (actual cost): 4.46, h(n) (heuristic cost): 8.06, f(n): 12.52
g(n) (actual cost): 4.48, h(n) (heuristic cost): 8.03, f(n): 12.52
g(n) (actual cost): 4.51, h(n) (heuristic cost): 8.01, f(n): 12.52
g(n) (actual cost): 4.53, h(n) (heuristic cost): 7.99, f(n): 12.52
g(n) (actual cost): 4.56, h(n) (heuristic cost): 7.96, f(n): 12.52
g(n) (actual cost): 4.58, h(n) (heuristic cost): 7.94, f(n): 12.52
g(n) (actual cost): 4.60, h(n) (heuristic cost): 7.91, f(n): 12.52
g(n) (actual cost): 4.63, h(n) (heuristic cost): 7.89, f(n): 12.52
g(n) (actual cost): 4.65, h(n) (heuristic cost): 7.86, f(n): 12.52
g(n) (actual cost): 4.68, h(n) (heuristic cost): 7.84, f(n): 12.52
g(n) (actual cost): 4.70, h(n) (heuristic cost): 7.81, f(n): 12.52
g(n) (actual cost): 4.73, h(n) (heuristic cost): 7.79, f(n): 12.52
g(n) (actual cost): 4.75, h(n) (heuristic cost): 7.77, f(n): 12.52
g(n) (actual cost): 4.77, h(n) (heuristic cost): 7.74, f(n): 12.52
g(n) (actual cost): 4.80, h(n) (heuristic cost): 7.72, f(n): 12.52
g(n) (actual cost): 4.83, h(n) (heuristic cost): 7.69, f(n): 12.52
g(n) (actual cost): 4.86, h(n) (heuristic cost): 7.66, f(n): 12.52
g(n) (actual cost): 4.88, h(n) (heuristic cost): 7.64, f(n): 12.52
g(n) (actual cost): 4.90, h(n) (heuristic cost): 7.61, f(n): 12.52
g(n) (actual cost): 4.93, h(n) (heuristic cost): 7.59, f(n): 12.52
g(n) (actual cost): 4.95, h(n) (heuristic cost): 7.56, f(n): 12.52
g(n) (actual cost): 4.98, h(n) (heuristic cost): 7.54, f(n): 12.52
g(n) (actual cost): 5.01, h(n) (heuristic cost): 7.51, f(n): 12.52
g(n) (actual cost): 5.04, h(n) (heuristic cost): 7.48, f(n): 12.52
g(n) (actual cost): 5.06, h(n) (heuristic cost): 7.45, f(n): 12.52
g(n) (actual cost): 5.09, h(n) (heuristic cost): 7.43, f(n): 12.52
g(n) (actual cost): 5.11, h(n) (heuristic cost): 7.41, f(n): 12.52
g(n) (actual cost): 5.14, h(n) (heuristic cost): 7.38, f(n): 12.52
g(n) (actual cost): 5.16, h(n) (heuristic cost): 7.35, f(n): 12.52
g(n) (actual cost): 5.19, h(n) (heuristic cost): 7.33, f(n): 12.52
g(n) (actual cost): 5.21, h(n) (heuristic cost): 7.30, f(n): 12.52
g(n) (actual cost): 5.24, h(n) (heuristic cost): 7.28, f(n): 12.52
g(n) (actual cost): 5.26, h(n) (heuristic cost): 7.26, f(n): 12.52
g(n) (actual cost): 5.28, h(n) (heuristic cost): 7.23, f(n): 12.52
g(n) (actual cost): 5.31, h(n) (heuristic cost): 7.21, f(n): 12.52
g(n) (actual cost): 5.33, h(n) (heuristic cost): 7.19, f(n): 12.52
g(n) (actual cost): 5.36, h(n) (heuristic cost): 7.16, f(n): 12.52
g(n) (actual cost): 5.38, h(n) (heuristic cost): 7.14, f(n): 12.52
g(n) (actual cost): 5.40, h(n) (heuristic cost): 7.11, f(n): 12.52
g(n) (actual cost): 5.43, h(n) (heuristic cost): 7.09, f(n): 12.52
g(n) (actual cost): 5.46, h(n) (heuristic cost): 7.06, f(n): 12.52
g(n) (actual cost): 5.48, h(n) (heuristic cost): 7.04, f(n): 12.52
g(n) (actual cost): 5.50, h(n) (heuristic cost): 7.01, f(n): 12.52
g(n) (actual cost): 5.52, h(n) (heuristic cost): 6.99, f(n): 12.52
g(n) (actual cost): 5.55, h(n) (heuristic cost): 6.97, f(n): 12.52
g(n) (actual cost): 5.58, h(n) (heuristic cost): 6.94, f(n): 12.52
g(n) (actual cost): 5.60, h(n) (heuristic cost): 6.92, f(n): 12.52
g(n) (actual cost): 5.63, h(n) (heuristic cost): 6.89, f(n): 12.52
g(n) (actual cost): 5.65, h(n) (heuristic cost): 6.87, f(n): 12.52
g(n) (actual cost): 5.69, h(n) (heuristic cost): 6.83, f(n): 12.52
g(n) (actual cost): 5.71, h(n) (heuristic cost): 6.80, f(n): 12.52
g(n) (actual cost): 5.74, h(n) (heuristic cost): 6.78, f(n): 12.52
g(n) (actual cost): 5.76, h(n) (heuristic cost): 6.76, f(n): 12.52
g(n) (actual cost): 5.78, h(n) (heuristic cost): 6.73, f(n): 12.52
g(n) (actual cost): 5.81, h(n) (heuristic cost): 6.71, f(n): 12.52
g(n) (actual cost): 5.84, h(n) (heuristic cost): 6.68, f(n): 12.52
g(n) (actual cost): 5.87, h(n) (heuristic cost): 6.65, f(n): 12.52
g(n) (actual cost): 5.89, h(n) (heuristic cost): 6.63, f(n): 12.52
g(n) (actual cost): 5.92, h(n) (heuristic cost): 6.60, f(n): 12.52
g(n) (actual cost): 5.94, h(n) (heuristic cost): 6.58, f(n): 12.52
g(n) (actual cost): 5.97, h(n) (heuristic cost): 6.55, f(n): 12.52
g(n) (actual cost): 5.99, h(n) (heuristic cost): 6.53, f(n): 12.52
g(n) (actual cost): 6.02, h(n) (heuristic cost): 6.50, f(n): 12.52
g(n) (actual cost): 6.04, h(n) (heuristic cost): 6.47, f(n): 12.52
g(n) (actual cost): 6.07, h(n) (heuristic cost): 6.45, f(n): 12.52
g(n) (actual cost): 6.09, h(n) (heuristic cost): 6.42, f(n): 12.52
g(n) (actual cost): 6.12, h(n) (heuristic cost): 6.40, f(n): 12.52
g(n) (actual cost): 6.14, h(n) (heuristic cost): 6.37, f(n): 12.52
g(n) (actual cost): 6.17, h(n) (heuristic cost): 6.35, f(n): 12.52
g(n) (actual cost): 6.19, h(n) (heuristic cost): 6.33, f(n): 12.52
g(n) (actual cost): 6.22, h(n) (heuristic cost): 6.30, f(n): 12.52
g(n) (actual cost): 6.24, h(n) (heuristic cost): 6.28, f(n): 12.52
g(n) (actual cost): 6.26, h(n) (heuristic cost): 6.26, f(n): 12.52
g(n) (actual cost): 6.29, h(n) (heuristic cost): 6.23, f(n): 12.52
g(n) (actual cost): 6.32, h(n) (heuristic cost): 6.20, f(n): 12.52
g(n) (actual cost): 6.34, h(n) (heuristic cost): 6.17, f(n): 12.52
g(n) (actual cost): 6.37, h(n) (heuristic cost): 6.15, f(n): 12.52
g(n) (actual cost): 6.40, h(n) (heuristic cost): 6.12, f(n): 12.52
g(n) (actual cost): 6.42, h(n) (heuristic cost): 6.09, f(n): 12.52
g(n) (actual cost): 6.45, h(n) (heuristic cost): 6.07, f(n): 12.52
g(n) (actual cost): 6.48, h(n) (heuristic cost): 6.04, f(n): 12.52
g(n) (actual cost): 6.50, h(n) (heuristic cost): 6.01, f(n): 12.52
g(n) (actual cost): 6.53, h(n) (heuristic cost): 5.99, f(n): 12.52
g(n) (actual cost): 6.56, h(n) (heuristic cost): 5.96, f(n): 12.52
g(n) (actual cost): 6.58, h(n) (heuristic cost): 5.94, f(n): 12.52
g(n) (actual cost): 6.61, h(n) (heuristic cost): 5.91, f(n): 12.52
g(n) (actual cost): 6.65, h(n) (heuristic cost): 5.87, f(n): 12.52
g(n) (actual cost): 6.68, h(n) (heuristic cost): 5.84, f(n): 12.52
g(n) (actual cost): 6.70, h(n) (heuristic cost): 5.82, f(n): 12.52
g(n) (actual cost): 6.73, h(n) (heuristic cost): 5.79, f(n): 12.52
g(n) (actual cost): 6.75, h(n) (heuristic cost): 5.77, f(n): 12.52
g(n) (actual cost): 6.77, h(n) (heuristic cost): 5.74, f(n): 12.52
g(n) (actual cost): 6.81, h(n) (heuristic cost): 5.71, f(n): 12.52
g(n) (actual cost): 6.83, h(n) (heuristic cost): 5.69, f(n): 12.52
g(n) (actual cost): 6.86, h(n) (heuristic cost): 5.66, f(n): 12.52
g(n) (actual cost): 6.89, h(n) (heuristic cost): 5.63, f(n): 12.52
g(n) (actual cost): 6.92, h(n) (heuristic cost): 5.60, f(n): 12.52
g(n) (actual cost): 6.94, h(n) (heuristic cost): 5.58, f(n): 12.52
g(n) (actual cost): 6.97, h(n) (heuristic cost): 5.55, f(n): 12.52
g(n) (actual cost): 7.00, h(n) (heuristic cost): 5.52, f(n): 12.52
g(n) (actual cost): 7.04, h(n) (heuristic cost): 5.48, f(n): 12.52
g(n) (actual cost): 7.07, h(n) (heuristic cost): 5.45, f(n): 12.52
g(n) (actual cost): 7.09, h(n) (heuristic cost): 5.43, f(n): 12.52
g(n) (actual cost): 7.12, h(n) (heuristic cost): 5.40, f(n): 12.52
g(n) (actual cost): 7.14, h(n) (heuristic cost): 5.38, f(n): 12.52
g(n) (actual cost): 7.17, h(n) (heuristic cost): 5.35, f(n): 12.52
g(n) (actual cost): 7.20, h(n) (heuristic cost): 5.32, f(n): 12.52
g(n) (actual cost): 7.22, h(n) (heuristic cost): 5.30, f(n): 12.52
g(n) (actual cost): 7.25, h(n) (heuristic cost): 5.27, f(n): 12.52
g(n) (actual cost): 7.28, h(n) (heuristic cost): 5.24, f(n): 12.52
g(n) (actual cost): 7.31, h(n) (heuristic cost): 5.21, f(n): 12.52
g(n) (actual cost): 7.33, h(n) (heuristic cost): 5.19, f(n): 12.52
g(n) (actual cost): 7.36, h(n) (heuristic cost): 5.16, f(n): 12.52
g(n) (actual cost): 7.38, h(n) (heuristic cost): 5.14, f(n): 12.52
g(n) (actual cost): 7.41, h(n) (heuristic cost): 5.11, f(n): 12.52
g(n) (actual cost): 7.43, h(n) (heuristic cost): 5.09, f(n): 12.52
g(n) (actual cost): 7.46, h(n) (heuristic cost): 5.06, f(n): 12.52
g(n) (actual cost): 7.49, h(n) (heuristic cost): 5.03, f(n): 12.52
g(n) (actual cost): 7.51, h(n) (heuristic cost): 5.01, f(n): 12.52
g(n) (actual cost): 7.54, h(n) (heuristic cost): 4.98, f(n): 12.52
g(n) (actual cost): 7.56, h(n) (heuristic cost): 4.96, f(n): 12.52
g(n) (actual cost): 7.59, h(n) (heuristic cost): 4.93, f(n): 12.52
g(n) (actual cost): 7.61, h(n) (heuristic cost): 4.91, f(n): 12.52
g(n) (actual cost): 7.64, h(n) (heuristic cost): 4.88, f(n): 12.52
g(n) (actual cost): 7.66, h(n) (heuristic cost): 4.86, f(n): 12.52
g(n) (actual cost): 7.69, h(n) (heuristic cost): 4.83, f(n): 12.52
g(n) (actual cost): 7.71, h(n) (heuristic cost): 4.81, f(n): 12.52
g(n) (actual cost): 7.73, h(n) (heuristic cost): 4.79, f(n): 12.52
g(n) (actual cost): 7.76, h(n) (heuristic cost): 4.76, f(n): 12.52
g(n) (actual cost): 7.78, h(n) (heuristic cost): 4.74, f(n): 12.52
g(n) (actual cost): 7.80, h(n) (heuristic cost): 4.72, f(n): 12.52
g(n) (actual cost): 7.83, h(n) (heuristic cost): 4.69, f(n): 12.52
g(n) (actual cost): 7.85, h(n) (heuristic cost): 4.67, f(n): 12.52
g(n) (actual cost): 7.88, h(n) (heuristic cost): 4.64, f(n): 12.52
g(n) (actual cost): 7.90, h(n) (heuristic cost): 4.62, f(n): 12.52
g(n) (actual cost): 7.92, h(n) (heuristic cost): 4.60, f(n): 12.52
g(n) (actual cost): 7.95, h(n) (heuristic cost): 4.57, f(n): 12.52
g(n) (actual cost): 7.97, h(n) (heuristic cost): 4.55, f(n): 12.52
g(n) (actual cost): 8.00, h(n) (heuristic cost): 4.52, f(n): 12.52
g(n) (actual cost): 8.02, h(n) (heuristic cost): 4.50, f(n): 12.52
g(n) (actual cost): 8.04, h(n) (heuristic cost): 4.48, f(n): 12.52
g(n) (actual cost): 8.07, h(n) (heuristic cost): 4.45, f(n): 12.52
g(n) (actual cost): 8.10, h(n) (heuristic cost): 4.42, f(n): 12.52
g(n) (actual cost): 8.13, h(n) (heuristic cost): 4.39, f(n): 12.52
g(n) (actual cost): 8.15, h(n) (heuristic cost): 4.37, f(n): 12.52
g(n) (actual cost): 8.18, h(n) (heuristic cost): 4.34, f(n): 12.52
g(n) (actual cost): 8.20, h(n) (heuristic cost): 4.32, f(n): 12.52
g(n) (actual cost): 8.22, h(n) (heuristic cost): 4.30, f(n): 12.52
g(n) (actual cost): 8.25, h(n) (heuristic cost): 4.27, f(n): 12.52
g(n) (actual cost): 8.28, h(n) (heuristic cost): 4.24, f(n): 12.52
g(n) (actual cost): 8.31, h(n) (heuristic cost): 4.21, f(n): 12.52
g(n) (actual cost): 8.34, h(n) (heuristic cost): 4.18, f(n): 12.52
g(n) (actual cost): 8.37, h(n) (heuristic cost): 4.15, f(n): 12.52
g(n) (actual cost): 8.39, h(n) (heuristic cost): 4.13, f(n): 12.52
g(n) (actual cost): 8.42, h(n) (heuristic cost): 4.10, f(n): 12.52
g(n) (actual cost): 8.44, h(n) (heuristic cost): 4.08, f(n): 12.52
g(n) (actual cost): 8.47, h(n) (heuristic cost): 4.05, f(n): 12.52
g(n) (actual cost): 8.49, h(n) (heuristic cost): 4.03, f(n): 12.52
g(n) (actual cost): 8.52, h(n) (heuristic cost): 4.00, f(n): 12.52
g(n) (actual cost): 8.54, h(n) (heuristic cost): 3.98, f(n): 12.52
g(n) (actual cost): 8.57, h(n) (heuristic cost): 3.95, f(n): 12.52
g(n) (actual cost): 8.59, h(n) (heuristic cost): 3.93, f(n): 12.52
g(n) (actual cost): 8.61, h(n) (heuristic cost): 3.91, f(n): 12.52
g(n) (actual cost): 8.64, h(n) (heuristic cost): 3.88, f(n): 12.52
g(n) (actual cost): 8.66, h(n) (heuristic cost): 3.86, f(n): 12.52
g(n) (actual cost): 8.69, h(n) (heuristic cost): 3.83, f(n): 12.52
g(n) (actual cost): 8.71, h(n) (heuristic cost): 3.81, f(n): 12.52
g(n) (actual cost): 8.74, h(n) (heuristic cost): 3.78, f(n): 12.52
g(n) (actual cost): 8.76, h(n) (heuristic cost): 3.76, f(n): 12.52
g(n) (actual cost): 8.78, h(n) (heuristic cost): 3.74, f(n): 12.52
